game_pk,game_date_utc,team_side,team_id,team_name,team_abbrev,opponent_team_id,opponent_team_name,opponent_team_abbrev,probable_pitcher_id,probable_pitcher_name,games_played,wins,losses,win_pct,runs_scored_avg,runs_allowed_avg,run_diff_avg,recent_games,recent_win_pct,recent_runs_scored_avg,recent_runs_allowed_avg,recent_run_diff_avg,streak,home_win_pct,away_win_pct,home_runs_scored_avg,home_runs_allowed_avg,away_runs_scored_avg,away_runs_allowed_avg,one_run_win_pct,recent3_win_pct,recent5_win_pct,recent3_runs_scored_avg,recent3_runs_allowed_avg,recent5_runs_scored_avg,recent5_runs_allowed_avg,pythag_win_pct,carryover_weight,rest_days,played_yesterday,games_last_7_days,travel_distance_km,last_game_was_home,last_game_margin,last_game_runs_scored,last_game_runs_allowed,last_game_won,standings_wins,standings_losses,standings_games_played,standings_win_pct,standings_run_diff,standings_pythag_win_pct,standings_carryover_weight,standings_league_id,standings_division_id,standings_league_rank,standings_league_games_back,standings_division_rank,standings_division_games_back,boxscore_recent_games,boxscore_carryover_weight,boxscore_batting_runs_avg,boxscore_batting_hits_avg,boxscore_batting_walks_avg,boxscore_batting_strikeouts_avg,boxscore_batting_home_runs_avg,boxscore_batting_doubles_avg,boxscore_batting_triples_avg,boxscore_batting_stolen_bases_avg,boxscore_batting_left_on_base_avg,boxscore_batting_at_bats_avg,boxscore_batting_obp_proxy_avg,boxscore_batting_slg_proxy_avg,boxscore_pitching_runs_allowed_avg,boxscore_pitching_hits_allowed_avg,boxscore_pitching_walks_allowed_avg,boxscore_pitching_strikeouts_avg,boxscore_pitching_home_runs_allowed_avg,boxscore_fielding_errors_avg,bullpen_recent_games,bullpen_games_with_relief,bullpen_relievers_used,bullpen_innings_pitched,bullpen_era,bullpen_whip,bullpen_k_per_9,bullpen_pitches,bullpen_avg_relievers_per_game,bullpen_carryover_weight,pitcher_recent_appearances,pitcher_recent_innings_pitched,pitcher_recent_era,pitcher_recent_whip,pitcher_recent_k_per_9,pitcher_recent_bb_per_9,pitcher_recent_hr_per_9,pitcher_recent_strikeouts,pitcher_recent_walks,pitcher_recent_hits_allowed,pitcher_recent_pitches,pitcher_recent_batters_faced,pitcher_season_appearances,pitcher_season_innings_pitched,pitcher_season_era,pitcher_season_whip,pitcher_season_k_per_9,pitcher_season_bb_per_9,pitcher_season_hr_per_9,pitcher_days_since_last_appearance,pitcher_last_appearance_innings_pitched,pitcher_last_appearance_earned_runs,pitcher_last_appearance_hits,pitcher_last_appearance_walks,pitcher_last_appearance_strikeouts,pitcher_last_appearance_pitches,pitcher_profile_age,pitcher_profile_height_inches,pitcher_profile_weight_lbs,pitcher_profile_throws_right,pitcher_profile_throws_left,pitcher_profile_bats_right,pitcher_profile_bats_left
778559,2025-03-27T20:10:00+00:00,home,117,Houston Astros,HOU,121,New York Mets,NYM,664285,Framber Valdez,56.35,30.8,25.55,0.5466,4.5963,4.0311,0.5652,5.25,0.6667,4.4,4.2,0.2,0.7,0.5679,0.525,4.8765,3.963,4.3125,4.1,0.4,0.6667,0.6,3.3333,4.3333,3.0,4.4,0.5652,0.35,,,0,,,,,,,30.8,25.55,56.35,0.5466,31.85,0.5652,0.35,103,200,4,1.925,1,0.0,5.25,0.35,4.4,9.1333,3.5333,7.2667,1.2667,1.7333,0.0,0.6,16.5333,34.4667,0.3193,0.4105,4.2,8.5333,2.4,9.4667,1.2,0.6667,1.75,1.75,5.6,5.7167,5.5102,1.5306,11.5714,102.55,3.2,0.35,1,7.0,0.0,0.8571,5.1429,2.5714,0.0,4.0,2.0,4.0,90.0,26.0,1,7.0,0.0,0.8571,5.1429,2.5714,0.0,0,7.0,0.0,4.0,2.0,4.0,90.0,32,71.0,230.0,0,1,1,0
778559,2025-03-27T20:10:00+00:00,away,121,New York Mets,NYM,117,Houston Astros,HOU,605280,Clay Holmes,56.7,31.15,25.55,0.5494,4.7407,4.3025,0.4383,5.25,0.5333,4.3333,4.0667,0.2667,-0.35,0.5679,0.5309,4.716,4.1235,4.7654,4.4815,0.6364,0.6667,0.4,4.3333,3.3333,3.4,4.8,0.5484,0.35,,,0,,,,,,,31.15,25.55,56.7,0.5494,24.85,0.5484,0.35,104,204,7,3.555,3,2.1,5.25,0.35,4.3333,7.8667,3.0667,8.2667,1.2667,1.0667,0.1333,0.6,14.0,32.9333,0.2943,0.3857,4.0667,7.2,2.9333,9.6667,0.8667,0.3333,1.75,1.75,5.6,5.3667,6.4565,1.5,14.6739,104.3,3.2,0.35,1,4.6667,3.8571,1.9286,7.7143,7.7143,0.0,4.0,4.0,5.0,89.0,23.0,1,4.6667,3.8571,1.9286,7.7143,7.7143,0.0,0,4.6667,2.0,5.0,4.0,4.0,89.0,33,77.0,245.0,1,0,1,0
778561,2025-03-27T20:10:00+00:00,home,113,Cincinnati Reds,CIN,137,San Francisco Giants,SF,668881,Hunter Greene,56.7,26.95,29.75,0.4753,4.3148,4.284,0.0309,5.25,0.4,3.5333,4.5333,-1.0,0.35,0.4815,0.4691,4.4074,4.7778,4.2222,3.7901,0.3488,0.3333,0.2,1.0,1.3333,1.2,3.0,0.5036,0.35,,,0,,,,,,,26.95,29.75,56.7,0.4753,1.75,0.5036,0.35,104,205,11,7.755,4,5.6,5.25,0.35,3.5333,7.0667,3.1333,8.0,0.6667,1.1333,0.3333,0.6667,12.8,32.1333,0.28,0.3265,4.5333,8.6667,2.8667,7.7333,1.5333,0.2667,1.75,1.4,5.6,5.6,5.0625,1.4375,6.75,89.25,3.2,0.35,1,5.0,3.6,0.8,14.4,1.8,1.8,8.0,1.0,3.0,84.0,19.0,1,5.0,3.6,0.8,14.4,1.8,1.8,0,5.0,2.0,3.0,1.0,8.0,84.0,26,77.0,242.0,1,0,1,0
778561,2025-03-27T20:10:00+00:00,away,137,San Francisco Giants,SF,113,Cincinnati Reds,CIN,657277,Logan Webb,56.7,28.0,28.7,0.4938,4.2778,4.3148,-0.037,5.25,0.5333,4.2,3.6,0.6,-0.35,0.5185,0.4691,4.1235,4.1605,4.4321,4.4691,0.5,0.3333,0.4,3.3333,5.6667,4.6,5.0,0.4957,0.35,,,0,,,,,,,28.0,28.7,56.7,0.4938,-2.1,0.4957,0.35,104,203,9,6.705,4,6.705,5.25,0.35,4.2,7.7333,2.2667,9.7333,1.3333,1.2667,0.2,0.4,12.4,33.8667,0.2697,0.384,3.6,8.4667,3.5333,9.2,0.4667,0.2,1.75,1.75,7.0,8.1667,4.2429,1.5429,6.5571,161.35,4.0,0.35,1,5.0,5.4,1.8,9.0,5.4,0.0,5.0,3.0,6.0,78.0,22.0,1,5.0,5.4,1.8,9.0,5.4,0.0,0,5.0,3.0,6.0,3.0,5.0,78.0,29,74.0,221.0,1,0,1,0
778545,2025-03-27T20:10:00+00:00,home,135,San Diego Padres,SD,144,Atlanta Braves,ATL,650633,Michael King,56.0,32.2,23.8,0.575,4.6437,4.0812,0.5625,5.25,0.7333,4.0667,2.7333,1.3333,-0.35,0.5625,0.5875,4.425,4.325,4.8625,3.8375,0.5366,0.6667,0.4,4.0,4.6667,3.4,5.0,0.5642,0.35,,,0,,,,,,,32.2,23.8,56.0,0.575,31.5,0.5642,0.35,104,203,3,2.155,2,2.155,5.25,0.35,4.0667,8.8667,2.4667,7.6667,1.3333,2.5333,0.0667,0.8667,13.8,34.4,0.3026,0.4459,2.7333,6.4667,2.4,8.4,0.7333,0.6667,1.75,1.75,5.6,5.4833,5.1702,1.7872,6.3191,107.45,3.2,0.35,1,2.6667,10.125,3.0,10.125,13.5,3.375,3.0,4.0,4.0,76.0,16.0,1,2.6667,10.125,3.0,10.125,13.5,3.375,0,2.6667,3.0,4.0,4.0,3.0,76.0,30,75.0,210.0,1,0,1,0
778545,2025-03-27T20:10:00+00:00,away,144,Atlanta Braves,ATL,135,San Diego Padres,SD,519242,Chris Sale,56.7,31.15,25.55,0.5494,4.3457,3.7469,0.5988,5.25,0.6,5.0,3.5333,1.4667,0.35,0.5679,0.5309,3.9012,3.8889,4.7901,3.6049,0.4186,0.3333,0.6,4.0,4.0,3.4,2.6,0.5736,0.35,,,0,,,,,,,31.15,25.55,56.7,0.5494,33.95,0.5736,0.35,104,204,6,3.555,2,2.1,5.25,0.35,5.0,9.2,3.5333,8.4,1.6667,1.7333,0.1333,0.4667,15.8667,34.4,0.33,0.452,3.5333,6.6,2.8667,9.7333,1.0,0.4,1.75,1.75,5.95,5.25,4.2,1.0,12.6,84.7,3.4,0.35,1,5.0,5.4,1.4,12.6,1.8,0.0,7.0,1.0,6.0,84.0,22.0,1,5.0,5.4,1.4,12.6,1.8,0.0,0,5.0,3.0,6.0,1.0,7.0,84.0,37,78.0,180.0,0,1,0,1
778554,2025-03-27T20:10:00+00:00,home,145,Chicago White Sox,CWS,108,Los Angeles Angels,LAA,680732,Sean Burke,57.05,14.35,42.7,0.2515,3.1166,5.0061,-1.8896,5.25,0.5333,3.7333,3.4,0.3333,0.7,0.2805,0.2222,3.0854,4.7439,3.1481,5.2716,0.3095,0.6667,0.8,4.6667,3.0,5.0,2.4,0.2793,0.35,,,0,,,,,,,14.35,42.7,57.05,0.2515,-107.8,0.2793,0.35,103,202,15,18.725,5,18.2,5.25,0.35,3.7333,7.4667,2.5333,8.4,1.2,1.0,0.0667,0.3333,13.5333,34.1333,0.267,0.3513,3.4,7.4,4.1333,9.4,0.8,0.1333,1.75,1.75,5.95,7.35,2.1429,1.3333,8.1429,123.55,3.4,0.35,1,6.0,0.0,0.5,4.5,0.0,0.0,3.0,,3.0,73.0,22.0,1,6.0,0.0,0.5,4.5,0.0,0.0,0,6.0,0.0,3.0,0.0,3.0,73.0,26,78.0,240.0,1,0,1,0
778554,2025-03-27T20:10:00+00:00,away,108,Los Angeles Angels,LAA,145,Chicago White Sox,CWS,579328,Yusei Kikuchi,56.7,22.05,34.65,0.3889,3.9198,4.9198,-1.0,5.25,0.2,3.7333,5.8667,-2.1333,-2.1,0.3951,0.3827,3.9506,5.0123,3.8889,4.8272,0.4583,0.0,0.0,3.3333,7.3333,2.6,6.6,0.3883,0.35,,,0,,,,,,,22.05,34.65,56.7,0.3889,-56.7,0.3883,0.35,103,200,14,10.85,5,8.925,5.25,0.35,3.7333,8.0,3.2,10.0,0.8,1.4,0.0667,0.9333,16.4667,34.4,0.2942,0.3422,5.8667,9.8667,3.9333,7.7333,1.7333,1.0667,1.75,1.75,6.3,6.3,7.0,1.8333,9.0,118.3,3.6,0.35,1,6.0,4.5,0.8333,7.5,0.0,1.5,5.0,,5.0,87.0,23.0,1,6.0,4.5,0.8333,7.5,0.0,1.5,0,6.0,3.0,5.0,0.0,5.0,87.0,34,72.0,210.0,0,1,0,1
778562,2025-03-27T20:10:00+00:00,home,146,Miami Marlins,MIA,134,Pittsburgh Pirates,PIT,645261,Sandy Alcantara,56.7,21.7,35.0,0.3827,3.9321,5.1914,-1.2593,5.25,0.4667,5.0,5.6667,-0.6667,1.4,0.3704,0.3951,4.2346,6.037,3.6296,4.3457,0.5349,1.0,0.8,8.6667,2.3333,7.4,4.2,0.3646,0.35,,,0,,,,,,,21.7,35.0,56.7,0.3827,-71.4,0.3646,0.35,104,204,14,13.005,5,11.55,5.25,0.35,5.0,9.7333,3.0,10.0,1.1333,1.8,0.3333,0.8,16.3333,35.8667,0.3211,0.427,5.6667,9.4,3.4,7.4667,1.6667,0.9333,1.75,1.75,5.6,7.5833,1.6615,1.4769,6.6462,126.7,3.2,0.35,1,4.6667,3.8571,1.2857,13.5,7.7143,0.0,7.0,4.0,2.0,91.0,20.0,1,4.6667,3.8571,1.2857,13.5,7.7143,0.0,0,4.6667,2.0,2.0,4.0,7.0,91.0,30,77.0,200.0,1,0,1,0
778562,2025-03-27T20:10:00+00:00,away,134,Pittsburgh Pirates,PIT,146,Miami Marlins,MIA,694973,Paul Skenes,56.7,26.6,30.1,0.4691,4.1049,4.5617,-0.4568,5.25,0.4,2.8667,4.4667,-1.6,-0.35,0.4815,0.4568,4.2346,4.7901,3.9753,4.3333,0.4902,0.6667,0.6,5.6667,4.0,4.2,3.6,0.4474,0.35,,,0,,,,,,,26.6,30.1,56.7,0.4691,-25.9,0.4474,0.35,104,205,12,8.105,5,5.95,5.25,0.35,2.8667,7.2667,3.0667,10.1333,1.0667,1.2667,0.0667,0.6,14.4667,32.8667,0.2843,0.3556,4.4667,7.2667,3.8667,8.4667,0.7333,0.8667,1.75,1.75,7.7,7.9333,2.7794,1.2794,9.9265,139.65,4.4,0.35,1,5.3333,3.375,0.9375,11.8125,3.375,0.0,7.0,2.0,3.0,94.0,20.0,1,5.3333,3.375,0.9375,11.8125,3.375,0.0,0,5.3333,2.0,3.0,2.0,7.0,94.0,23,78.0,260.0,1,0,1,0
