game_pk,game_date_utc,status,venue_name,home_team_id,home_team_name,away_team_id,away_team_name,home_probable_pitcher_id,home_probable_pitcher_name,away_probable_pitcher_id,away_probable_pitcher_name,home_score,away_score,target_home_team_win,home_team_games_played,home_team_wins,home_team_losses,home_team_win_pct,home_team_runs_scored_avg,home_team_runs_allowed_avg,home_team_run_diff_avg,home_team_recent_games,home_team_recent_win_pct,home_team_recent_runs_scored_avg,home_team_recent_runs_allowed_avg,home_team_recent_run_diff_avg,home_team_streak,home_team_home_win_pct,home_team_away_win_pct,home_team_one_run_win_pct,away_team_games_played,away_team_wins,away_team_losses,away_team_win_pct,away_team_runs_scored_avg,away_team_runs_allowed_avg,away_team_run_diff_avg,away_team_recent_games,away_team_recent_win_pct,away_team_recent_runs_scored_avg,away_team_recent_runs_allowed_avg,away_team_recent_run_diff_avg,away_team_streak,away_team_home_win_pct,away_team_away_win_pct,away_team_one_run_win_pct,h2h_games,h2h_recent_games,h2h_home_team_recent_win_pct,h2h_home_team_recent_run_diff_avg,h2h_last_meeting_home_team_won,home_pitcher_recent_appearances,home_pitcher_recent_innings_pitched,home_pitcher_recent_era,home_pitcher_recent_whip,home_pitcher_recent_k_per_9,home_pitcher_recent_bb_per_9,home_pitcher_recent_hr_per_9,home_pitcher_recent_strikeouts,home_pitcher_recent_walks,home_pitcher_recent_hits_allowed,home_pitcher_recent_pitches,home_pitcher_recent_batters_faced,away_pitcher_recent_appearances,away_pitcher_recent_innings_pitched,away_pitcher_recent_era,away_pitcher_recent_whip,away_pitcher_recent_k_per_9,away_pitcher_recent_bb_per_9,away_pitcher_recent_hr_per_9,away_pitcher_recent_strikeouts,away_pitcher_recent_walks,away_pitcher_recent_hits_allowed,away_pitcher_recent_pitches,away_pitcher_recent_batters_faced
822838,2026-03-28T19:07:00+00:00,Final,Rogers Centre,141,Toronto Blue Jays,133,Athletics,656302,Dylan Cease,605488,Jeffrey Springs,8,7,1,1,1,0,1.0,3.0,2.0,1.0,1,1.0,3.0,2.0,1.0,1,1.0,,1.0,1,0,1,0.0,2.0,3.0,-1.0,1,0.0,2.0,3.0,-1.0,-1,,0.0,0.0,1,1,1.0,1.0,1,1,5.3333,1.6875,0.9375,20.25,3.375,0.0,12.0,2.0,3.0,90.0,22.0,1,5.3333,3.375,1.5,3.375,5.0625,0.0,2.0,3.0,5.0,83.0,22.0
824862,2026-03-28T20:05:00+00:00,Final,Oriole Park at Camden Yards,110,Baltimore Orioles,142,Minnesota Twins,680694,Kyle Bradish,671737,Taj Bradley,1,4,0,1,1,0,1.0,2.0,1.0,1.0,1,1.0,2.0,1.0,1.0,1,1.0,,1.0,1,0,1,0.0,1.0,2.0,-1.0,1,0.0,1.0,2.0,-1.0,-1,,0.0,0.0,1,1,1.0,1.0,1,1,4.6667,3.8571,1.0714,7.7143,5.7857,1.9286,4.0,3.0,2.0,83.0,19.0,1,4.3333,2.0769,1.3846,18.6923,6.2308,0.0,9.0,3.0,3.0,92.0,19.0
823488,2026-03-28T20:05:00+00:00,Final,Citizens Bank Park,143,Philadelphia Phillies,140,Texas Rangers,605400,Aaron Nola,656641,Jacob Latz,4,5,0,1,1,0,1.0,5.0,3.0,2.0,1,1.0,5.0,3.0,2.0,1,1.0,,,1,0,1,0.0,3.0,5.0,-2.0,1,0.0,3.0,5.0,-2.0,-1,,0.0,,1,1,1.0,2.0,1,1,5.0,5.4,1.4,12.6,3.6,3.6,7.0,2.0,5.0,91.0,22.0,1,4.0,0.0,0.25,6.75,2.25,0.0,3.0,1.0,,68.0,14.0
824540,2026-03-28T20:10:00+00:00,Final,Great American Ball Park,113,Cincinnati Reds,111,Boston Red Sox,663903,Brady Singer,543243,Sonny Gray,6,5,1,1,0,1,0.0,0.0,3.0,-3.0,1,0.0,0.0,3.0,-3.0,-1,0.0,,,1,1,0,1.0,3.0,0.0,3.0,1,1.0,3.0,0.0,3.0,1,,1.0,,1,1,0.0,-3.0,0,1,4.0,6.75,1.75,11.25,4.5,2.25,5.0,2.0,5.0,74.0,20.0,1,4.0,6.75,1.75,11.25,2.25,2.25,5.0,1.0,6.0,80.0,20.0
823651,2026-03-28T20:10:00+00:00,Final,Citi Field,121,New York Mets,134,Pittsburgh Pirates,656849,David Peterson,656605,Mitch Keller,4,2,1,1,1,0,1.0,11.0,7.0,4.0,1,1.0,11.0,7.0,4.0,1,1.0,,,1,0,1,0.0,7.0,11.0,-4.0,1,0.0,7.0,11.0,-4.0,-1,,0.0,,1,1,1.0,4.0,1,1,5.3333,0.0,1.5,5.0625,3.375,0.0,3.0,2.0,6.0,76.0,25.0,1,6.0,0.0,0.5,4.5,0.0,0.0,3.0,,3.0,77.0,21.0
823892,2026-03-28T20:10:00+00:00,Final,loanDepot park,146,Miami Marlins,115,Colorado Rockies,691587,Eury Pérez,547179,Michael Lorenzen,4,3,1,1,1,0,1.0,2.0,1.0,1.0,1,1.0,2.0,1.0,1.0,1,1.0,,1.0,1,0,1,0.0,1.0,2.0,-1.0,1,0.0,1.0,2.0,-1.0,-1,,0.0,0.0,1,1,1.0,1.0,1,1,7.0,3.8571,0.8571,10.2857,1.2857,2.5714,8.0,1.0,5.0,93.0,27.0,1,4.3333,6.2308,1.6154,8.3077,0.0,2.0769,4.0,,7.0,93.0,22.0
824213,2026-03-28T23:10:00+00:00,Final,Daikin Park,117,Houston Astros,108,Los Angeles Angels,664299,Cristian Javier,672282,Reid Detmers,11,9,1,2,0,2,0.0,1.0,4.5,-3.5,2,0.0,1.0,4.5,-3.5,-2,0.0,,,2,2,0,1.0,4.5,1.0,3.5,2,1.0,4.5,1.0,3.5,2,,1.0,,2,2,0.0,-3.5,0,1,4.6667,11.5714,1.7143,1.9286,7.7143,3.8571,1.0,4.0,4.0,74.0,21.0,1,4.6667,5.7857,1.2857,17.3571,0.0,0.0,9.0,,6.0,95.0,21.0
823811,2026-03-28T23:10:00+00:00,Final,American Family Field,158,Milwaukee Brewers,145,Chicago White Sox,694477,Chad Patrick,680732,Sean Burke,6,1,1,1,1,0,1.0,14.0,2.0,12.0,1,1.0,14.0,2.0,12.0,1,1.0,,,1,0,1,0.0,2.0,14.0,-12.0,1,0.0,2.0,14.0,-12.0,-1,,0.0,,1,1,1.0,12.0,1,1,4.3333,2.0769,1.3846,8.3077,2.0769,2.0769,4.0,1.0,5.0,74.0,19.0,1,4.0,6.75,2.0,11.25,2.25,0.0,5.0,1.0,7.0,91.0,20.0
824945,2026-03-28T23:15:00+00:00,Final,Truist Park,144,Atlanta Braves,118,Kansas City Royals,625643,Reynaldo López,608379,Michael Wacha,6,2,1,1,1,0,1.0,6.0,0.0,6.0,1,1.0,6.0,0.0,6.0,1,1.0,,,1,0,1,0.0,0.0,6.0,-6.0,1,0.0,0.0,6.0,-6.0,-1,,0.0,,1,1,1.0,6.0,1,1,6.0,1.5,0.8333,4.5,3.0,1.5,3.0,2.0,3.0,77.0,22.0,1,6.0,0.0,0.6667,10.5,1.5,0.0,7.0,1.0,3.0,80.0,20.0
823241,2026-03-28T23:15:00+00:00,Final,Oracle Park,137,San Francisco Giants,147,New York Yankees,641816,Tyler Mahle,701542,Will Warren,1,3,0,2,0,2,0.0,0.0,5.0,-5.0,2,0.0,0.0,5.0,-5.0,-2,0.0,,,2,2,0,1.0,5.0,0.0,5.0,2,1.0,5.0,0.0,5.0,2,,1.0,,2,2,0.0,-5.0,0,1,4.0,4.5,1.5,11.25,2.25,0.0,5.0,1.0,5.0,80.0,17.0,1,4.3333,2.0769,1.6154,6.2308,4.1538,0.0,3.0,2.0,5.0,83.0,19.0
