game_pk,game_date_utc,team_side,team_id,team_name,opponent_team_id,opponent_team_name,probable_pitcher_id,probable_pitcher_name,games_played,wins,losses,win_pct,runs_scored_avg,runs_allowed_avg,run_diff_avg,recent_games,recent_win_pct,recent_runs_scored_avg,recent_runs_allowed_avg,recent_run_diff_avg,streak,home_win_pct,away_win_pct,home_runs_scored_avg,home_runs_allowed_avg,away_runs_scored_avg,away_runs_allowed_avg,one_run_win_pct,recent3_win_pct,recent5_win_pct,recent3_runs_scored_avg,recent3_runs_allowed_avg,recent5_runs_scored_avg,recent5_runs_allowed_avg,pythag_win_pct,rest_days,played_yesterday,games_last_7_days,travel_distance_km,last_game_was_home,last_game_margin,last_game_runs_scored,last_game_runs_allowed,last_game_won,standings_wins,standings_losses,standings_games_played,standings_win_pct,standings_run_diff,standings_pythag_win_pct,standings_league_id,standings_division_id,standings_league_rank,standings_league_games_back,standings_division_rank,standings_division_games_back,bullpen_recent_games,bullpen_games_with_relief,bullpen_relievers_used,bullpen_innings_pitched,bullpen_era,bullpen_whip,bullpen_k_per_9,bullpen_pitches,bullpen_avg_relievers_per_game,pitcher_recent_appearances,pitcher_recent_innings_pitched,pitcher_recent_era,pitcher_recent_whip,pitcher_recent_k_per_9,pitcher_recent_bb_per_9,pitcher_recent_hr_per_9,pitcher_recent_strikeouts,pitcher_recent_walks,pitcher_recent_hits_allowed,pitcher_recent_pitches,pitcher_recent_batters_faced,pitcher_season_appearances,pitcher_season_innings_pitched,pitcher_season_era,pitcher_season_whip,pitcher_season_k_per_9,pitcher_season_bb_per_9,pitcher_season_hr_per_9,pitcher_days_since_last_appearance,pitcher_last_appearance_innings_pitched,pitcher_last_appearance_earned_runs,pitcher_last_appearance_hits,pitcher_last_appearance_walks,pitcher_last_appearance_strikeouts,pitcher_last_appearance_pitches
823324,2026-03-28T01:40:00+00:00,home,135,San Diego Padres,116,Detroit Tigers,650633,Michael King,1,0,1,0.0,2.0,8.0,-6.0,1,0.0,2.0,8.0,-6.0,-1,0.0,,2.0,8.0,,,,0.0,0.0,2.0,8.0,2.0,8.0,0.0588,1,0,1,,1,-6,2,8,0,0,1,1,0.0,-6,0.0588,104,203,13,1.0,3,1.0,1,1,4,6.0,3.0,1.0,9.0,97.0,4.0,1,5.0,0.0,1.0,10.8,7.2,0.0,6.0,4.0,1.0,82.0,20.0,1,5.0,0.0,1.0,10.8,7.2,0.0,1,5.0,0.0,1.0,4.0,6.0,82.0
823324,2026-03-28T01:40:00+00:00,away,116,Detroit Tigers,135,San Diego Padres,664285,Framber Valdez,1,1,0,1.0,8.0,2.0,6.0,1,1.0,8.0,2.0,6.0,1,,1.0,,,8.0,2.0,,1.0,1.0,8.0,2.0,8.0,2.0,0.9412,1,0,1,,0,6,8,2,1,1,0,1,1.0,6,0.9412,103,202,3,0.5,1,0.0,1,1,3,3.0,3.0,1.6667,3.0,54.0,3.0,1,6.0,1.5,1.3333,7.5,1.5,0.0,5.0,1.0,7.0,83.0,25.0,1,6.0,1.5,1.3333,7.5,1.5,0.0,1,6.0,1.0,7.0,1.0,5.0,83.0
823162,2026-03-28T01:45:00+00:00,home,136,Seattle Mariners,114,Cleveland Guardians,669923,George Kirby,1,0,1,0.0,4.0,6.0,-2.0,1,0.0,4.0,6.0,-2.0,-1,0.0,,4.0,6.0,,,,0.0,0.0,4.0,6.0,4.0,6.0,0.3077,0,1,1,,1,-2,4,6,0,0,1,1,0.0,-2,0.3077,103,200,12,1.5,4,1.5,1,1,4,3.6667,7.3636,2.4545,9.8182,77.0,4.0,1,6.0,1.5,0.6667,9.0,3.0,1.5,6.0,2.0,2.0,90.0,22.0,1,6.0,1.5,0.6667,9.0,3.0,1.5,1,6.0,1.0,2.0,2.0,6.0,90.0
823162,2026-03-28T01:45:00+00:00,away,114,Cleveland Guardians,136,Seattle Mariners,668909,Gavin Williams,1,1,0,1.0,6.0,4.0,2.0,1,1.0,6.0,4.0,2.0,1,,1.0,,,6.0,4.0,,1.0,1.0,6.0,4.0,6.0,4.0,0.6923,0,1,1,,0,2,6,4,1,1,0,1,1.0,2,0.6923,103,202,5,0.5,2,0.5,1,1,4,4.0,2.25,0.5,15.75,55.0,4.0,1,5.0,5.4,1.6,12.6,10.8,1.8,7.0,6.0,2.0,89.0,22.0,1,5.0,5.4,1.6,12.6,10.8,1.8,1,5.0,3.0,2.0,6.0,7.0,89.0
823971,2026-03-28T02:10:00+00:00,home,119,Los Angeles Dodgers,109,Arizona Diamondbacks,686218,Emmet Sheehan,1,1,0,1.0,8.0,2.0,6.0,1,1.0,8.0,2.0,6.0,1,1.0,,8.0,2.0,,,,1.0,1.0,8.0,2.0,8.0,2.0,0.9412,0,1,1,,1,6,8,2,1,1,0,1,1.0,6,0.9412,104,203,3,0.0,1,0.0,1,1,3,3.0,0.0,0.3333,6.0,32.0,3.0,1,3.3333,10.8,2.1,16.2,5.4,2.7,6.0,2.0,5.0,83.0,16.0,1,3.3333,10.8,2.1,16.2,5.4,2.7,1,3.3333,4.0,5.0,2.0,6.0,83.0
823971,2026-03-28T02:10:00+00:00,away,109,Arizona Diamondbacks,119,Los Angeles Dodgers,669194,Ryne Nelson,1,0,1,0.0,2.0,8.0,-6.0,1,0.0,2.0,8.0,-6.0,-1,,0.0,,,2.0,8.0,,0.0,0.0,2.0,8.0,2.0,8.0,0.0588,0,1,1,,0,-6,2,8,0,0,1,1,0.0,-6,0.0588,104,203,13,1.0,3,1.0,1,1,4,4.0,9.0,2.0,4.5,77.0,4.0,1,4.6667,7.7143,1.0714,7.7143,5.7857,3.8571,4.0,3.0,2.0,83.0,19.0,1,4.6667,7.7143,1.0714,7.7143,5.7857,3.8571,1,4.6667,4.0,2.0,3.0,4.0,83.0
823082,2026-03-28T18:15:00+00:00,home,138,St. Louis Cardinals,139,Tampa Bay Rays,700241,Michael McGreevy,1,1,0,1.0,9.0,7.0,2.0,1,1.0,9.0,7.0,2.0,1,1.0,,9.0,7.0,,,,1.0,1.0,9.0,7.0,9.0,7.0,0.6231,1,0,1,,1,2,9,7,1,1,0,1,1.0,2,0.6231,104,205,6,0.0,2,0.0,1,1,6,4.0,13.5,3.5,6.75,90.0,6.0,1,6.0,0.0,0.3333,7.5,3.0,0.0,5.0,2.0,,96.0,21.0,1,6.0,0.0,0.3333,7.5,3.0,0.0,0,6.0,0.0,0.0,2.0,5.0,96.0
823082,2026-03-28T18:15:00+00:00,away,139,Tampa Bay Rays,138,St. Louis Cardinals,671212,Joe Boyle,1,0,1,0.0,7.0,9.0,-2.0,1,0.0,7.0,9.0,-2.0,-1,,0.0,,,7.0,9.0,,0.0,0.0,7.0,9.0,7.0,9.0,0.3769,1,0,1,,0,-2,7,9,0,0,1,1,0.0,-2,0.3769,103,201,11,1.5,5,1.5,1,1,4,3.0,24.0,3.6667,3.0,72.0,4.0,1,6.0,3.0,0.5,6.0,0.0,0.0,4.0,,3.0,75.0,21.0,1,6.0,3.0,0.5,6.0,0.0,0.0,0,6.0,2.0,3.0,0.0,4.0,75.0
824701,2026-03-28T18:20:00+00:00,home,112,Chicago Cubs,120,Washington Nationals,690990,Cade Horton,1,0,1,0.0,4.0,10.0,-6.0,1,0.0,4.0,10.0,-6.0,-1,0.0,,4.0,10.0,,,,0.0,0.0,4.0,10.0,4.0,10.0,0.1379,1,0,1,,1,-6,4,10,0,0,1,1,0.0,-6,0.1379,104,205,12,1.0,5,1.0,1,1,3,5.3333,3.375,1.125,8.4375,75.0,3.0,1,6.3333,2.8421,0.7895,5.6842,1.4211,1.4211,4.0,1.0,4.0,75.0,22.0,1,6.3333,2.8421,0.7895,5.6842,1.4211,1.4211,0,6.3333,2.0,4.0,1.0,4.0,75.0
824701,2026-03-28T18:20:00+00:00,away,120,Washington Nationals,112,Chicago Cubs,571945,Miles Mikolas,1,1,0,1.0,10.0,4.0,6.0,1,1.0,10.0,4.0,6.0,1,,1.0,,,10.0,4.0,,1.0,1.0,10.0,4.0,10.0,4.0,0.8621,1,0,1,,0,6,10,4,1,1,0,1,1.0,6,0.8621,104,204,3,0.0,1,0.0,1,1,4,5.3333,1.6875,1.5,6.75,107.0,4.0,1,5.0,7.2,1.8,7.2,5.4,1.8,4.0,3.0,6.0,97.0,25.0,1,5.0,7.2,1.8,7.2,5.4,1.8,0,5.0,4.0,6.0,3.0,4.0,97.0
822838,2026-03-28T19:07:00+00:00,home,141,Toronto Blue Jays,133,Athletics,656302,Dylan Cease,1,1,0,1.0,3.0,2.0,1.0,1,1.0,3.0,2.0,1.0,1,1.0,,3.0,2.0,,,1.0,1.0,1.0,3.0,2.0,3.0,2.0,0.6923,0,1,1,,1,1,3,2,1,1,0,1,1.0,1,0.6923,103,201,6,0.5,4,0.5,1,1,3,3.0,3.0,1.3333,15.0,51.0,3.0,1,5.3333,1.6875,0.9375,20.25,3.375,0.0,12.0,2.0,3.0,90.0,22.0,1,5.3333,1.6875,0.9375,20.25,3.375,0.0,0,5.3333,1.0,3.0,2.0,12.0,90.0
822838,2026-03-28T19:07:00+00:00,away,133,Athletics,141,Toronto Blue Jays,605488,Jeffrey Springs,1,0,1,0.0,2.0,3.0,-1.0,1,0.0,2.0,3.0,-1.0,-1,,0.0,,,2.0,3.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,0.3077,0,1,1,,0,-1,2,3,0,0,1,1,0.0,-1,0.3077,103,200,10,1.5,3,1.5,1,1,3,3.6667,2.4545,1.3636,0.0,47.0,3.0,1,5.3333,3.375,1.5,3.375,5.0625,0.0,2.0,3.0,5.0,83.0,22.0,1,5.3333,3.375,1.5,3.375,5.0625,0.0,0,5.3333,2.0,5.0,3.0,2.0,83.0
824862,2026-03-28T20:05:00+00:00,home,110,Baltimore Orioles,142,Minnesota Twins,680694,Kyle Bradish,1,1,0,1.0,2.0,1.0,1.0,1,1.0,2.0,1.0,1.0,1,1.0,,2.0,1.0,,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.8,1,0,1,,1,1,2,1,1,1,0,1,1.0,1,0.8,103,201,6,0.5,4,0.5,1,1,2,2.0,4.5,1.0,18.0,33.0,2.0,1,4.6667,3.8571,1.0714,7.7143,5.7857,1.9286,4.0,3.0,2.0,83.0,19.0,1,4.6667,3.8571,1.0714,7.7143,5.7857,1.9286,0,4.6667,2.0,2.0,3.0,4.0,83.0
824862,2026-03-28T20:05:00+00:00,away,142,Minnesota Twins,110,Baltimore Orioles,671737,Taj Bradley,1,0,1,0.0,1.0,2.0,-1.0,1,0.0,1.0,2.0,-1.0,-1,,0.0,,,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.2,1,0,1,,0,-1,1,2,0,0,1,1,0.0,-1,0.2,103,202,9,1.5,3,1.5,1,1,3,2.6667,6.75,1.875,3.375,45.0,3.0,1,4.3333,2.0769,1.3846,18.6923,6.2308,0.0,9.0,3.0,3.0,92.0,19.0,1,4.3333,2.0769,1.3846,18.6923,6.2308,0.0,0,4.3333,1.0,3.0,3.0,9.0,92.0
823488,2026-03-28T20:05:00+00:00,home,143,Philadelphia Phillies,140,Texas Rangers,605400,Aaron Nola,1,1,0,1.0,5.0,3.0,2.0,1,1.0,5.0,3.0,2.0,1,1.0,,5.0,3.0,,,,1.0,1.0,5.0,3.0,5.0,3.0,0.7353,1,0,1,,1,2,5,3,1,1,0,1,1.0,2,0.7353,104,204,6,0.0,3,0.0,1,1,4,3.0,9.0,2.0,3.0,61.0,4.0,1,5.0,5.4,1.4,12.6,3.6,3.6,7.0,2.0,5.0,91.0,22.0,1,5.0,5.4,1.4,12.6,3.6,3.6,0,5.0,3.0,5.0,2.0,7.0,91.0
