game_pk,game_date_utc,team_side,team_name,player_id,player_name,bats,hit_probability,expected_hits,expected_total_bases,expected_rbi,home_run_probability,prop_score
824940,2026-04-01T16:15:00+00:00,away,Athletics,669127,Shea Langeliers,R,0.8361,1.461,3.468,6.173,0.4064,4.0767
824940,2026-04-01T16:15:00+00:00,away,Athletics,691777,Max Muncy,R,0.6178,0.846,1.697,1.612,0.207,2.2973
824940,2026-04-01T16:15:00+00:00,away,Athletics,666126,Carlos Cortes,L,0.6897,1.009,1.973,0.608,0.0343,2.1604
824940,2026-04-01T16:15:00+00:00,away,Athletics,628451,Andy Ibáñez,R,0.7239,1.092,1.203,2.798,0.0649,1.8227
824940,2026-04-01T16:15:00+00:00,away,Athletics,805779,Jacob Wilson,R,0.6248,0.863,1.187,1.538,0.0503,1.6314
824940,2026-04-01T16:15:00+00:00,home,Atlanta Braves,686948,Drake Baldwin,L,0.7152,1.067,2.615,2.697,0.3804,3.3875
824940,2026-04-01T16:15:00+00:00,home,Atlanta Braves,642086,Dominic Smith,L,0.7984,1.316,2.261,5.817,0.3177,3.1142
824940,2026-04-01T16:15:00+00:00,home,Atlanta Braves,573262,Mike Yastrzemski,L,0.8057,1.336,2.078,1.11,0.0816,2.4596
824940,2026-04-01T16:15:00+00:00,home,Atlanta Braves,671739,Michael Harris II,L,0.7136,1.067,1.62,2.412,0.199,2.3479
824940,2026-04-01T16:15:00+00:00,home,Atlanta Braves,645277,Ozzie Albies,S,0.6817,0.989,1.57,0.87,0.1744,2.234
824860,2026-04-01T16:35:00+00:00,away,Texas Rangers,669394,Jake Burger,R,0.8939,1.756,2.987,5.42,0.3528,3.7258
824860,2026-04-01T16:35:00+00:00,away,Texas Rangers,457705,Andrew McCutchen,R,0.8653,1.581,2.845,4.467,0.2862,3.4372
824860,2026-04-01T16:35:00+00:00,away,Texas Rangers,608369,Corey Seager,L,0.7463,1.143,2.318,3.71,0.3149,3.1282
824860,2026-04-01T16:35:00+00:00,away,Texas Rangers,643376,Danny Jansen,R,0.7299,1.107,2.034,5.563,0.264,2.7672
824860,2026-04-01T16:35:00+00:00,away,Texas Rangers,607043,Brandon Nimmo,L,0.8217,1.414,2.042,3.587,0.1575,2.6484
824860,2026-04-01T16:35:00+00:00,home,Baltimore Orioles,624413,Pete Alonso,R,0.7519,1.173,1.883,1.794,0.1783,2.5295
824860,2026-04-01T16:35:00+00:00,home,Baltimore Orioles,683002,Gunnar Henderson,L,0.6135,0.84,1.481,3.245,0.1914,2.1398
824860,2026-04-01T16:35:00+00:00,home,Baltimore Orioles,681297,Colton Cowser,L,0.7028,1.035,1.478,1.037,0.0935,2.0125
824860,2026-04-01T16:35:00+00:00,home,Baltimore Orioles,668939,Adley Rutschman,S,0.6681,0.952,1.638,0.859,0.0333,1.9313
824860,2026-04-01T16:35:00+00:00,home,Baltimore Orioles,677942,Blaze Alexander,R,0.7613,1.204,1.471,1.056,0.02,1.9115
824536,2026-04-01T16:40:00+00:00,away,Pittsburgh Pirates,664040,Brandon Lowe,L,0.7578,1.184,3.122,3.735,0.3855,3.7565
824536,2026-04-01T16:40:00+00:00,away,Pittsburgh Pirates,656811,Ryan O'Hearn,L,0.8449,1.473,2.601,5.506,0.3028,3.3847
824536,2026-04-01T16:40:00+00:00,away,Pittsburgh Pirates,665833,Oneil Cruz,L,0.6318,0.875,1.91,2.533,0.2749,2.6056
824536,2026-04-01T16:40:00+00:00,away,Pittsburgh Pirates,693304,Nick Gonzales,R,0.7963,1.312,1.472,2.526,0.0463,2.0123
824536,2026-04-01T16:40:00+00:00,away,Pittsburgh Pirates,668804,Bryan Reynolds,S,0.5363,0.692,1.195,1.575,0.1463,1.7663
824536,2026-04-01T16:40:00+00:00,home,Cincinnati Reds,701398,Sal Stewart,R,0.8531,1.479,2.993,2.823,0.3504,3.8308
824536,2026-04-01T16:40:00+00:00,home,Cincinnati Reds,682829,Elly De La Cruz,S,0.5717,0.755,1.76,1.737,0.2902,2.5017
824536,2026-04-01T16:40:00+00:00,home,Cincinnati Reds,666181,Will Benson,L,0.6408,0.893,1.633,1.027,0.0962,2.0333
824536,2026-04-01T16:40:00+00:00,home,Cincinnati Reds,667472,Dane Myers,R,0.8174,1.389,1.564,0.852,0.0201,2.0251
824536,2026-04-01T16:40:00+00:00,home,Cincinnati Reds,553993,Eugenio Suárez,R,0.5266,0.676,1.311,3.112,0.1617,1.8634
823483,2026-04-01T17:05:00+00:00,away,Washington Nationals,686894,Joey Wiemer,R,0.8861,1.675,3.39,4.64,0.3994,4.0778
823483,2026-04-01T17:05:00+00:00,away,Washington Nationals,691781,Brady House,R,0.7857,1.276,1.797,2.558,0.2089,2.571
823483,2026-04-01T17:05:00+00:00,away,Washington Nationals,695734,Daylen Lile,L,0.8637,1.583,2.221,2.707,0.0206,2.4854
823483,2026-04-01T17:05:00+00:00,away,Washington Nationals,696285,Jacob Young,R,0.6005,0.812,1.65,2.006,0.2427,2.3204
823483,2026-04-01T17:05:00+00:00,away,Washington Nationals,660688,Keibert Ruiz,S,0.5797,0.773,1.498,3.876,0.2171,2.1475
823483,2026-04-01T17:05:00+00:00,home,Philadelphia Phillies,665561,Rafael Marchán,S,0.7471,1.168,3.483,8.776,0.4077,3.942
823483,2026-04-01T17:05:00+00:00,home,Philadelphia Phillies,656941,Kyle Schwarber,L,0.5342,0.688,1.776,2.538,0.352,2.6114
