game_pk,game_date_utc,team_side,team_id,team_name,team_abbrev,opponent_team_id,opponent_team_name,opponent_team_abbrev,probable_pitcher_id,probable_pitcher_name,games_played,wins,losses,win_pct,runs_scored_avg,runs_allowed_avg,run_diff_avg,recent_games,recent_win_pct,recent_runs_scored_avg,recent_runs_allowed_avg,recent_run_diff_avg,streak,home_win_pct,away_win_pct,home_runs_scored_avg,home_runs_allowed_avg,away_runs_scored_avg,away_runs_allowed_avg,one_run_win_pct,recent3_win_pct,recent5_win_pct,recent3_runs_scored_avg,recent3_runs_allowed_avg,recent5_runs_scored_avg,recent5_runs_allowed_avg,pythag_win_pct,carryover_weight,rest_days,played_yesterday,games_last_7_days,travel_distance_km,last_game_was_home,last_game_margin,last_game_runs_scored,last_game_runs_allowed,last_game_won,standings_wins,standings_losses,standings_games_played,standings_win_pct,standings_run_diff,standings_pythag_win_pct,standings_carryover_weight,standings_league_id,standings_division_id,standings_league_rank,standings_league_games_back,standings_division_rank,standings_division_games_back,boxscore_recent_games,boxscore_carryover_weight,boxscore_batting_runs_avg,boxscore_batting_hits_avg,boxscore_batting_walks_avg,boxscore_batting_strikeouts_avg,boxscore_batting_home_runs_avg,boxscore_batting_doubles_avg,boxscore_batting_triples_avg,boxscore_batting_stolen_bases_avg,boxscore_batting_left_on_base_avg,boxscore_batting_at_bats_avg,boxscore_batting_obp_proxy_avg,boxscore_batting_slg_proxy_avg,boxscore_pitching_runs_allowed_avg,boxscore_pitching_hits_allowed_avg,boxscore_pitching_walks_allowed_avg,boxscore_pitching_strikeouts_avg,boxscore_pitching_home_runs_allowed_avg,boxscore_fielding_errors_avg,bullpen_recent_games,bullpen_games_with_relief,bullpen_relievers_used,bullpen_innings_pitched,bullpen_era,bullpen_whip,bullpen_k_per_9,bullpen_pitches,bullpen_avg_relievers_per_game,bullpen_carryover_weight,pitcher_recent_appearances,pitcher_recent_innings_pitched,pitcher_recent_era,pitcher_recent_whip,pitcher_recent_k_per_9,pitcher_recent_bb_per_9,pitcher_recent_hr_per_9,pitcher_recent_strikeouts,pitcher_recent_walks,pitcher_recent_hits_allowed,pitcher_recent_pitches,pitcher_recent_batters_faced,pitcher_season_appearances,pitcher_season_innings_pitched,pitcher_season_era,pitcher_season_whip,pitcher_season_k_per_9,pitcher_season_bb_per_9,pitcher_season_hr_per_9,pitcher_days_since_last_appearance,pitcher_last_appearance_innings_pitched,pitcher_last_appearance_earned_runs,pitcher_last_appearance_hits,pitcher_last_appearance_walks,pitcher_last_appearance_strikeouts,pitcher_last_appearance_pitches,pitcher_profile_age,pitcher_profile_height_inches,pitcher_profile_weight_lbs,pitcher_profile_throws_right,pitcher_profile_throws_left,pitcher_profile_bats_right,pitcher_profile_bats_left
823889,2026-04-01T17:10:00+00:00,home,146,Miami Marlins,MIA,145,Chicago White Sox,CWS,645261,Sandy Alcantara,0.7,0.35,0.35,0.5,4.0,4.0,0.0,0.7,0.5,4.0,4.0,0.0,-0.35,0.5,,4.0,4.0,,,0.5,0.5,0.5,4.0,4.0,4.0,4.0,0.5,0.35,,,0,,,,,,,0.35,0.35,0.7,0.5,0.0,0.5,0.35,104,204,7,0.7,2,0.175,0.7,0.35,4.0,7.0,5.0,9.0,0.5,1.0,0.5,0.5,13.5,30.5,0.3362,0.3441,4.0,5.5,6.0,8.5,1.0,2.0,0.7,0.7,1.75,2.9167,2.16,1.08,6.48,44.1,2.5,0.35,1,7.0,0.0,0.8571,6.4286,2.5714,0.0,5.0,2.0,4.0,73.0,25.0,1,7.0,0.0,0.8571,6.4286,2.5714,0.0,5,7.0,0.0,4.0,2.0,5.0,73.0,30,77.0,200.0,1,0,1,0
823889,2026-04-01T17:10:00+00:00,away,145,Chicago White Sox,CWS,146,Miami Marlins,MIA,681343,Shane Smith,0.35,0.35,0.0,1.0,8.0,1.0,7.0,0.35,1.0,8.0,1.0,7.0,0.35,1.0,,8.0,1.0,,,,1.0,1.0,8.0,1.0,8.0,1.0,0.9846,0.35,,,0,,,,,,,0.35,0.0,0.35,1.0,2.45,0.9846,0.35,103,202,1,0.0,1,0.0,0.35,0.35,8.0,9.0,2.0,6.0,3.0,2.0,0.0,0.0,8.0,33.0,0.3143,0.6061,1.0,5.0,2.0,10.0,1.0,0.0,0.35,0.35,1.4,1.05,3.0,1.3333,21.0,23.8,4.0,0.35,1,1.6667,16.2,3.0,10.8,10.8,0.0,2.0,2.0,3.0,54.0,11.0,1,1.6667,16.2,3.0,10.8,10.8,0.0,6,1.6667,3.0,3.0,2.0,2.0,54.0,25,75.0,240.0,1,0,1,0
823078,2026-04-01T17:15:00+00:00,home,138,St. Louis Cardinals,STL,121,New York Mets,NYM,669461,Matthew Liberatore,0.35,0.35,0.0,1.0,5.0,3.0,2.0,0.35,1.0,5.0,3.0,2.0,0.35,1.0,,5.0,3.0,,,,1.0,1.0,5.0,3.0,5.0,3.0,0.7353,0.35,,,0,,,,,,,0.35,0.0,0.35,1.0,0.7,0.7353,0.35,104,205,4,0.525,1,0.0,0.35,0.35,5.0,10.0,2.0,5.0,2.0,1.0,0.0,0.0,13.0,33.0,0.3429,0.5152,3.0,8.0,3.0,11.0,1.0,0.0,0.35,0.35,1.75,1.4,2.25,1.25,11.25,24.5,5.0,0.35,1,5.0,1.8,1.8,3.6,3.6,1.8,2.0,2.0,7.0,78.0,24.0,1,5.0,1.8,1.8,3.6,3.6,1.8,6,5.0,1.0,7.0,2.0,2.0,78.0,26,76.0,215.0,0,1,0,1
823078,2026-04-01T17:15:00+00:00,away,121,New York Mets,NYM,138,St. Louis Cardinals,STL,642547,Freddy Peralta,0.7,0.35,0.35,0.5,2.0,2.0,0.0,0.7,0.5,2.0,2.0,0.0,0.35,,0.5,,,2.0,2.0,,0.5,0.5,2.0,2.0,2.0,2.0,0.5,0.35,,,0,,,,,,,0.35,0.35,0.7,0.5,0.0,0.5,0.35,104,204,9,0.7,3,0.175,0.7,0.35,2.0,5.5,4.5,9.0,0.5,1.5,0.0,0.0,16.5,30.0,0.2879,0.2833,2.0,5.0,4.5,8.5,0.0,0.5,0.7,0.7,2.1,2.5667,0.0,0.8182,8.5909,40.95,3.0,0.35,1,5.0,7.2,1.2,12.6,0.0,3.6,7.0,,6.0,80.0,21.0,1,5.0,7.2,1.2,12.6,0.0,3.6,6,5.0,4.0,6.0,0.0,7.0,80.0,29,72.0,198.0,1,0,1,0
823806,2026-04-01T17:40:00+00:00,home,158,Milwaukee Brewers,MIL,139,Tampa Bay Rays,TB,694819,Jacob Misiorowski,0.35,0.0,0.35,0.0,2.0,4.0,-2.0,0.35,0.0,2.0,4.0,-2.0,-0.35,,0.0,,,2.0,4.0,,0.0,0.0,2.0,4.0,2.0,4.0,0.2,0.35,,,0,,,,,,,0.0,0.35,0.35,0.0,-0.7,0.2,0.35,104,205,13,0.875,5,0.35,0.35,0.35,2.0,7.0,4.0,13.0,1.0,1.0,0.0,1.0,18.0,33.0,0.2973,0.3333,4.0,7.0,4.0,10.0,2.0,1.0,0.35,0.35,1.4,1.05,6.0,2.0,6.0,22.05,4.0,0.35,1,5.0,1.8,1.0,19.8,5.4,1.8,11.0,3.0,2.0,94.0,20.0,1,5.0,1.8,1.0,19.8,5.4,1.8,6,5.0,1.0,2.0,3.0,11.0,94.0,23,79.0,201.0,1,0,1,0
823806,2026-04-01T17:40:00+00:00,away,139,Tampa Bay Rays,TB,158,Milwaukee Brewers,MIL,656876,Drew Rasmussen,0.35,0.35,0.0,1.0,3.0,2.0,1.0,0.35,1.0,3.0,2.0,1.0,0.35,1.0,,3.0,2.0,,,1.0,1.0,1.0,3.0,2.0,3.0,2.0,0.6923,0.35,,,0,,,,,,,0.35,0.0,0.35,1.0,0.35,0.6923,0.35,103,201,4,0.0,2,0.0,0.35,0.35,3.0,7.0,1.0,9.0,1.0,1.0,0.0,0.0,10.0,30.0,0.2581,0.3667,2.0,7.0,3.0,12.0,0.0,1.0,0.35,0.35,1.05,1.05,0.0,1.0,12.0,16.8,3.0,0.35,1,5.0,1.8,0.8,3.6,0.0,1.8,2.0,,4.0,73.0,20.0,1,5.0,1.8,0.8,3.6,0.0,1.8,6,5.0,1.0,4.0,0.0,2.0,73.0,30,73.0,240.0,1,0,1,0
824211,2026-04-01T18:10:00+00:00,home,117,Houston Astros,HOU,111,Boston Red Sox,BOS,681347,Mike Burrows,0.7,0.35,0.35,0.5,2.0,2.0,0.0,0.7,0.5,2.0,2.0,0.0,-0.35,0.5,,2.0,2.0,,,,0.5,0.5,2.0,2.0,2.0,2.0,0.5,0.35,,,0,,,,,,,0.35,0.35,0.7,0.5,0.0,0.5,0.35,103,200,7,0.175,2,0.0,0.7,0.35,2.0,5.0,4.5,8.5,0.0,0.0,0.0,0.0,16.0,29.0,0.2825,0.1724,2.0,5.5,4.5,9.0,0.5,0.5,0.7,0.7,2.1,1.75,1.8,1.4,12.6,36.75,3.0,0.35,1,5.6667,7.9412,1.9412,9.5294,3.1765,3.1765,6.0,2.0,9.0,94.0,26.0,1,5.6667,7.9412,1.9412,9.5294,3.1765,3.1765,5,5.6667,5.0,9.0,2.0,6.0,94.0,26,73.0,200.0,1,0,1,0
824211,2026-04-01T18:10:00+00:00,away,111,Boston Red Sox,BOS,117,Houston Astros,HOU,676979,Garrett Crochet,0.7,0.35,0.35,0.5,3.0,3.0,0.0,0.7,0.5,3.0,3.0,0.0,-0.35,,0.5,,,3.0,3.0,,0.5,0.5,3.0,3.0,3.0,3.0,0.5,0.35,,,0,,,,,,,0.35,0.35,0.7,0.5,0.0,0.5,0.35,103,201,9,0.175,4,0.175,0.7,0.35,3.0,7.0,2.5,10.0,1.0,0.0,0.0,2.0,12.0,33.5,0.2639,0.2995,3.0,7.5,2.5,5.0,1.0,0.0,0.7,0.7,1.75,2.2167,0.0,0.4737,5.6842,25.2,2.5,0.35,1,6.0,0.0,0.8333,12.0,3.0,0.0,8.0,2.0,3.0,80.0,24.0,1,6.0,0.0,0.8333,12.0,3.0,0.0,6,6.0,0.0,3.0,2.0,8.0,80.0,26,78.0,245.0,0,1,0,1
824698,2026-04-01T18:20:00+00:00,home,112,Chicago Cubs,CHC,108,Los Angeles Angels,LAA,571510,Matthew Boyd,1.4,0.35,1.05,0.25,3.75,6.0,-2.25,1.4,0.25,3.75,6.0,-2.25,-0.35,0.0,0.5,2.0,5.0,5.5,7.0,,0.3333,0.25,4.6667,6.6667,3.75,6.0,0.2809,0.35,,,0,,,,,,,0.35,1.05,1.4,0.25,-3.15,0.2809,0.35,104,205,10,1.05,3,0.525,1.4,0.35,3.75,6.5,4.5,9.0,0.25,2.0,0.0,1.5,16.0,34.0,0.2695,0.2569,6.0,9.25,4.5,7.25,1.5,0.5,1.4,1.4,4.9,6.1833,4.5849,1.6415,9.6792,119.7,3.5,0.35,1,3.6667,14.7273,1.9091,17.1818,2.4545,2.4545,7.0,1.0,6.0,63.0,17.0,1,3.6667,14.7273,1.9091,17.1818,2.4545,2.4545,6,3.6667,6.0,6.0,1.0,7.0,63.0,35,75.0,223.0,0,1,0,1
824698,2026-04-01T18:20:00+00:00,away,108,Los Angeles Angels,LAA,112,Chicago Cubs,CHC,579328,Yusei Kikuchi,0.35,0.0,0.35,0.0,1.0,8.0,-7.0,0.35,0.0,1.0,8.0,-7.0,-0.35,,0.0,,,1.0,8.0,,0.0,0.0,1.0,8.0,1.0,8.0,0.0154,0.35,,,0,,,,,,,0.0,0.35,0.35,0.0,-2.45,0.0154,0.35,103,200,15,0.35,5,0.175,0.35,0.35,1.0,5.0,2.0,10.0,1.0,1.0,0.0,0.0,13.0,32.0,0.2059,0.2812,8.0,9.0,2.0,6.0,3.0,0.0,0.35,0.35,0.7,0.7,22.5,3.0,4.5,15.05,2.0,0.35,1,4.3333,4.1538,2.0769,6.2308,2.0769,2.0769,3.0,1.0,8.0,86.0,22.0,1,4.3333,4.1538,2.0769,6.2308,2.0769,2.0769,5,4.3333,2.0,8.0,1.0,3.0,86.0,34,72.0,210.0,0,1,0,1
