game_pk,game_date_utc,away_team_name,home_team_name,away_pitcher_name,home_pitcher_name,away_pitcher_predicted_strikeouts,away_pitcher_predicted_outs,away_pitcher_predicted_earned_runs,away_pitcher_predicted_hits_allowed,home_pitcher_predicted_strikeouts,home_pitcher_predicted_outs,home_pitcher_predicted_earned_runs,home_pitcher_predicted_hits_allowed,away_home_run_candidates,home_home_run_candidates
824861,2026-03-31T22:35:00+00:00,Texas Rangers,Baltimore Orioles,Jacob deGrom,Zach Eflin,4.44,15.0,2.8,4.85,3.56,15.0,1.87,4.28,Jake Burger (3.21); Brandon Nimmo (2.98); Corey Seager (2.83),Pete Alonso (2.87); Taylor Ward (2.56); Gunnar Henderson (2.42)
824537,2026-03-31T22:40:00+00:00,Pittsburgh Pirates,Cincinnati Reds,Bubba Chandler,Brandon Williamson,4.18,15.0,2.17,4.57,4.44,15.0,2.17,3.74,Brandon Lowe (4.77); Ryan O'Hearn (2.60); Marcell Ozuna (1.81),Eugenio Suárez (3.95); Sal Stewart (2.65); Elly De La Cruz (2.62)
823485,2026-03-31T22:40:00+00:00,Washington Nationals,Philadelphia Phillies,PJ Poulin,Andrew Painter,0.6,2.5,0.0,1.05,5.33,15.0,1.87,3.74,Joey Wiemer (3.63); James Wood (3.13); Keibert Ruiz (2.19),Kyle Schwarber (4.30); Rafael Marchán (3.70); Alec Bohm (2.07)
823888,2026-03-31T22:40:00+00:00,Chicago White Sox,Miami Marlins,Erick Fedde,Janson Junk,4.71,15.0,2.17,4.0,3.56,15.0,2.8,5.14,Colson Montgomery (2.85); Munetaka Murakami (2.51); Miguel Vargas (2.37),Liam Hicks (3.27); Owen Caissie (1.88); Agustín Ramírez (1.80)
822836,2026-03-31T23:07:00+00:00,Colorado Rockies,Toronto Blue Jays,Ryan Feltner,Max Scherzer,3.56,15.0,2.71,5.14,5.33,15.0,1.87,4.0,Hunter Goodman (2.68); Troy Johnston (2.18); Braxton Fulford (2.10),George Springer (3.79); Davis Schneider (3.01); Jesús Sánchez (2.81)
824942,2026-03-31T23:15:00+00:00,Athletics,Atlanta Braves,Aaron Civale,José Suarez,5.33,15.0,1.9,3.74,3.92,15.0,2.44,4.28,Shea Langeliers (4.74); Nick Kurtz (2.70); Brent Rooker (2.41),Drake Baldwin (3.33); Dominic Smith (2.68); Matt Olson (2.61)
824699,2026-03-31T23:40:00+00:00,Los Angeles Angels,Chicago Cubs,José Soriano,Jameson Taillon,7.41,18.0,0.0,3.46,5.23,15.0,1.87,3.74,Mike Trout (3.43); Zach Neto (3.30); Jo Adell (2.75),Ian Happ (3.96); Miguel Amaya (3.91); Alex Bregman (3.07)
823807,2026-03-31T23:40:00+00:00,Tampa Bay Rays,Milwaukee Brewers,Shane McClanahan,Brandon Woodruff,5.33,15.0,1.87,4.0,4.71,15.0,1.87,4.0,Junior Caminero (3.26); Yandy Díaz (3.17); Jonathan Aranda (2.62),Christian Yelich (3.20); Gary Sánchez (2.83); William Contreras (2.62)
823077,2026-03-31T23:45:00+00:00,New York Mets,St. Louis Cardinals,Kodai Senga,Andre Pallante,3.56,15.0,2.71,5.62,4.71,15.0,1.87,3.74,Juan Soto (3.41); Francisco Lindor (2.73); Mark Vientos (2.52),Nolan Gorman (2.98); Alec Burleson (2.80); Pedro Pagés (2.05)
824212,2026-04-01T00:10:00+00:00,Boston Red Sox,Houston Astros,Brayan Bello,Hunter Brown,4.44,15.0,1.87,3.74,10.59,14.0,0.0,4.92,Wilyer Abreu (3.86); Trevor Story (2.62); Carlos Narváez (1.78),Jose Altuve (3.54); Yordan Alvarez (2.56); Christian Walker (2.44)
825107,2026-04-01T01:40:00+00:00,Detroit Tigers,Arizona Diamondbacks,Casey Mize,Brandon Pfaadt,3.56,15.0,2.8,5.62,5.33,15.0,2.44,5.42,Riley Greene (2.74); Spencer Torkelson (2.41); Dillon Dingler (2.39),Ildemaro Vargas (3.77); Corbin Carroll (3.43); Ketel Marte (3.05)
823322,2026-04-01T01:40:00+00:00,San Francisco Giants,San Diego Padres,Logan Webb,Germán Márquez,5.6,15.0,7.2,8.64,5.33,15.0,2.8,3.74,Rafael Devers (2.80); Harrison Bader (2.26); Willy Adames (2.17),Ramón Laureano (3.00); Jackson Merrill (2.46); Manny Machado (2.24)
823158,2026-04-01T01:40:00+00:00,New York Yankees,Seattle Mariners,Max Fried,Logan Gilbert,4.71,19.0,0.0,1.73,8.24,16.0,2.79,3.07,Aaron Judge (5.04); Giancarlo Stanton (3.22); Trent Grisham (2.74),Cal Raleigh (4.03); Luke Raley (3.00); Dominic Canzone (2.87)
823969,2026-04-01T02:10:00+00:00,Cleveland Guardians,Los Angeles Dodgers,Tanner Bibee,Shohei Ohtani,7.0,15.0,3.6,3.82,3.56,15.0,2.8,5.62,Chase DeLauter (2.54); José Ramírez (2.42); Kyle Manzardo (2.16),Shohei Ohtani (3.88); Will Smith (3.21); Alex Freeland (2.96)
