game_pk,game_date_utc,team_side,team_id,team_name,opponent_team_id,opponent_team_name,probable_pitcher_id,probable_pitcher_name,games_played,wins,losses,win_pct,runs_scored_avg,runs_allowed_avg,run_diff_avg,recent_games,recent_win_pct,recent_runs_scored_avg,recent_runs_allowed_avg,recent_run_diff_avg,streak,home_win_pct,away_win_pct,home_runs_scored_avg,home_runs_allowed_avg,away_runs_scored_avg,away_runs_allowed_avg,one_run_win_pct,recent3_win_pct,recent5_win_pct,recent3_runs_scored_avg,recent3_runs_allowed_avg,recent5_runs_scored_avg,recent5_runs_allowed_avg,pythag_win_pct,rest_days,played_yesterday,games_last_7_days,travel_distance_km,last_game_was_home,last_game_margin,last_game_runs_scored,last_game_runs_allowed,last_game_won,standings_wins,standings_losses,standings_games_played,standings_win_pct,standings_run_diff,standings_pythag_win_pct,standings_league_id,standings_division_id,standings_league_rank,standings_league_games_back,standings_division_rank,standings_division_games_back,boxscore_recent_games,boxscore_batting_runs_avg,boxscore_batting_hits_avg,boxscore_batting_walks_avg,boxscore_batting_strikeouts_avg,boxscore_batting_home_runs_avg,boxscore_batting_doubles_avg,boxscore_batting_triples_avg,boxscore_batting_stolen_bases_avg,boxscore_batting_left_on_base_avg,boxscore_batting_at_bats_avg,boxscore_batting_obp_proxy_avg,boxscore_batting_slg_proxy_avg,boxscore_pitching_runs_allowed_avg,boxscore_pitching_hits_allowed_avg,boxscore_pitching_walks_allowed_avg,boxscore_pitching_strikeouts_avg,boxscore_pitching_home_runs_allowed_avg,boxscore_fielding_errors_avg,bullpen_recent_games,bullpen_games_with_relief,bullpen_relievers_used,bullpen_innings_pitched,bullpen_era,bullpen_whip,bullpen_k_per_9,bullpen_pitches,bullpen_avg_relievers_per_game,pitcher_recent_appearances,pitcher_recent_innings_pitched,pitcher_recent_era,pitcher_recent_whip,pitcher_recent_k_per_9,pitcher_recent_bb_per_9,pitcher_recent_hr_per_9,pitcher_recent_strikeouts,pitcher_recent_walks,pitcher_recent_hits_allowed,pitcher_recent_pitches,pitcher_recent_batters_faced,pitcher_season_appearances,pitcher_season_innings_pitched,pitcher_season_era,pitcher_season_whip,pitcher_season_k_per_9,pitcher_season_bb_per_9,pitcher_season_hr_per_9,pitcher_days_since_last_appearance,pitcher_last_appearance_innings_pitched,pitcher_last_appearance_earned_runs,pitcher_last_appearance_hits,pitcher_last_appearance_walks,pitcher_last_appearance_strikeouts,pitcher_last_appearance_pitches,pitcher_profile_age,pitcher_profile_height_inches,pitcher_profile_weight_lbs,pitcher_profile_throws_right,pitcher_profile_throws_left,pitcher_profile_bats_right,pitcher_profile_bats_left
824942,2026-03-31T23:15:00+00:00,home,144,Atlanta Braves,133,Athletics,660761,José Suarez,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,104,204,15,0.0,5,0.0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,28,70.0,225.0,0,1,0,1
824942,2026-03-31T23:15:00+00:00,away,133,Athletics,144,Atlanta Braves,650644,Aaron Civale,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,103,200,12,0.0,4,0.0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,30,73.0,245.0,1,0,1,0
824699,2026-03-31T23:40:00+00:00,home,112,Chicago Cubs,108,Los Angeles Angels,592791,Jameson Taillon,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,104,205,9,0.0,4,0.0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,34,77.0,230.0,1,0,1,0
824699,2026-03-31T23:40:00+00:00,away,108,Los Angeles Angels,112,Chicago Cubs,667755,José Soriano,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,103,200,2,0.0,1,0.0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,1,6.0,0.0,1.0,10.5,6.0,0.0,7.0,4.0,2.0,91.0,24.0,1,6.0,0.0,1.0,10.5,6.0,0.0,5,6.0,0.0,2.0,4.0,7.0,91.0,27,75.0,220.0,1,0,1,0
823807,2026-03-31T23:40:00+00:00,home,158,Milwaukee Brewers,139,Tampa Bay Rays,605540,Brandon Woodruff,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,104,205,13,0.0,5,0.0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,33,76.0,241.0,1,0,0,1
823807,2026-03-31T23:40:00+00:00,away,139,Tampa Bay Rays,158,Milwaukee Brewers,663556,Shane McClanahan,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,103,201,3,0.0,2,0.0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,28,75.0,210.0,0,1,0,1
823077,2026-03-31T23:45:00+00:00,home,138,St. Louis Cardinals,121,New York Mets,669467,Andre Pallante,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,104,205,6,0.0,2,0.0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,27,72.0,215.0,1,0,1,0
823077,2026-03-31T23:45:00+00:00,away,121,New York Mets,138,St. Louis Cardinals,673540,Kodai Senga,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,104,204,12,0.0,3,0.0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,33,73.0,202.0,1,0,0,1
824212,2026-04-01T00:10:00+00:00,home,117,Houston Astros,111,Boston Red Sox,686613,Hunter Brown,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,103,200,9,0.0,2,0.0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,1,4.6667,0.0,1.7143,17.3571,7.7143,0.0,9.0,4.0,4.0,102.0,22.0,1,4.6667,0.0,1.7143,17.3571,7.7143,0.0,6,4.6667,0.0,4.0,4.0,9.0,102.0,27,74.0,220.0,1,0,1,0
824212,2026-04-01T00:10:00+00:00,away,111,Boston Red Sox,117,Houston Astros,678394,Brayan Bello,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,103,201,15,0.0,5,0.0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,26,73.0,195.0,1,0,1,0
825107,2026-04-01T01:40:00+00:00,home,109,Arizona Diamondbacks,116,Detroit Tigers,694297,Brandon Pfaadt,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,104,203,10,0.0,4,0.0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,27,76.0,220.0,1,0,1,0
825107,2026-04-01T01:40:00+00:00,away,116,Detroit Tigers,109,Arizona Diamondbacks,663554,Casey Mize,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,103,202,8,0.0,4,0.0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,28,75.0,212.0,1,0,1,0
823322,2026-04-01T01:40:00+00:00,home,135,San Diego Padres,137,San Francisco Giants,608566,Germán Márquez,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,104,203,3,0.0,1,0.0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,31,73.0,230.0,1,0,1,0
823322,2026-04-01T01:40:00+00:00,away,137,San Francisco Giants,135,San Diego Padres,657277,Logan Webb,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,104,203,4,0.0,2,0.0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,1,5.0,10.8,2.0,12.6,1.8,0.0,7.0,1.0,9.0,86.0,26.0,1,5.0,10.8,2.0,12.6,1.8,0.0,7,5.0,6.0,9.0,1.0,7.0,86.0,29,74.0,221.0,1,0,1,0
823158,2026-04-01T01:40:00+00:00,home,136,Seattle Mariners,147,New York Yankees,669302,Logan Gilbert,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,103,200,14,0.0,5,0.0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,1,5.3333,5.0625,0.9375,11.8125,0.0,1.6875,7.0,,5.0,86.0,21.0,1,5.3333,5.0625,0.9375,11.8125,0.0,1.6875,6,5.3333,3.0,5.0,0.0,7.0,86.0,28,78.0,215.0,1,0,1,0
823158,2026-04-01T01:40:00+00:00,away,147,New York Yankees,136,Seattle Mariners,608331,Max Fried,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,103,201,10,0.0,4,0.0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,1,6.3333,0.0,0.4737,5.6842,1.4211,0.0,4.0,1.0,2.0,86.0,23.0,1,6.3333,0.0,0.4737,5.6842,1.4211,0.0,7,6.3333,0.0,2.0,1.0,4.0,86.0,32,76.0,190.0,0,1,0,1
823969,2026-04-01T02:10:00+00:00,home,119,Los Angeles Dodgers,114,Cleveland Guardians,660271,Shohei Ohtani,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,104,203,5,0.0,3,0.0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,31,76.0,210.0,1,0,0,1
823969,2026-04-01T02:10:00+00:00,away,114,Cleveland Guardians,119,Los Angeles Dodgers,676440,Tanner Bibee,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,103,202,13,0.0,5,0.0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,1,5.0,5.4,1.2,12.6,3.6,5.4,7.0,2.0,4.0,78.0,20.0,1,5.0,5.4,1.2,12.6,3.6,5.4,6,5.0,3.0,4.0,2.0,7.0,78.0,27,74.0,205.0,1,0,1,0
