game_pk,game_date_utc,team_side,team_id,team_name,opponent_team_id,opponent_team_name,probable_pitcher_id,probable_pitcher_name,games_played,wins,losses,win_pct,runs_scored_avg,runs_allowed_avg,run_diff_avg,recent_games,recent_win_pct,recent_runs_scored_avg,recent_runs_allowed_avg,recent_run_diff_avg,streak,home_win_pct,away_win_pct,home_runs_scored_avg,home_runs_allowed_avg,away_runs_scored_avg,away_runs_allowed_avg,one_run_win_pct,recent3_win_pct,recent5_win_pct,recent3_runs_scored_avg,recent3_runs_allowed_avg,recent5_runs_scored_avg,recent5_runs_allowed_avg,pythag_win_pct,rest_days,played_yesterday,games_last_7_days,travel_distance_km,last_game_was_home,last_game_margin,last_game_runs_scored,last_game_runs_allowed,last_game_won,standings_wins,standings_losses,standings_games_played,standings_win_pct,standings_run_diff,standings_pythag_win_pct,standings_league_id,standings_division_id,standings_league_rank,standings_league_games_back,standings_division_rank,standings_division_games_back,boxscore_recent_games,boxscore_batting_runs_avg,boxscore_batting_hits_avg,boxscore_batting_walks_avg,boxscore_batting_strikeouts_avg,boxscore_batting_home_runs_avg,boxscore_batting_doubles_avg,boxscore_batting_triples_avg,boxscore_batting_stolen_bases_avg,boxscore_batting_left_on_base_avg,boxscore_batting_at_bats_avg,boxscore_batting_obp_proxy_avg,boxscore_batting_slg_proxy_avg,boxscore_pitching_runs_allowed_avg,boxscore_pitching_hits_allowed_avg,boxscore_pitching_walks_allowed_avg,boxscore_pitching_strikeouts_avg,boxscore_pitching_home_runs_allowed_avg,boxscore_fielding_errors_avg,bullpen_recent_games,bullpen_games_with_relief,bullpen_relievers_used,bullpen_innings_pitched,bullpen_era,bullpen_whip,bullpen_k_per_9,bullpen_pitches,bullpen_avg_relievers_per_game,pitcher_recent_appearances,pitcher_recent_innings_pitched,pitcher_recent_era,pitcher_recent_whip,pitcher_recent_k_per_9,pitcher_recent_bb_per_9,pitcher_recent_hr_per_9,pitcher_recent_strikeouts,pitcher_recent_walks,pitcher_recent_hits_allowed,pitcher_recent_pitches,pitcher_recent_batters_faced,pitcher_season_appearances,pitcher_season_innings_pitched,pitcher_season_era,pitcher_season_whip,pitcher_season_k_per_9,pitcher_season_bb_per_9,pitcher_season_hr_per_9,pitcher_days_since_last_appearance,pitcher_last_appearance_innings_pitched,pitcher_last_appearance_earned_runs,pitcher_last_appearance_hits,pitcher_last_appearance_walks,pitcher_last_appearance_strikeouts,pitcher_last_appearance_pitches,pitcher_profile_age,pitcher_profile_height_inches,pitcher_profile_weight_lbs,pitcher_profile_throws_right,pitcher_profile_throws_left,pitcher_profile_bats_right,pitcher_profile_bats_left
824942,2026-03-31T23:15:00+00:00,home,144,Atlanta Braves,133,Athletics,660761,José Suarez,164,89,75,0.5427,4.3354,3.7683,0.5671,15,0.5333,4.6667,3.6,1.0667,-2,0.5679,0.5181,3.9012,3.8889,4.759,3.6506,0.4091,0.3333,0.2,3.3333,3.6667,3.8,4.6,0.5696,366,0,0,,0,-1,3,4,0,89,75,164,0.5427,93,0.5696,104,204,7,12.0,3,7.5,15,4.6667,9.0667,3.4,9.0,1.8667,1.2667,0.1333,0.4667,15.8,34.7333,0.3212,0.449,3.6,6.7333,2.6,9.4,1.0,0.3333,5,5,20,17.6667,6.1132,0.9623,10.6981,265.0,4.0,0,,,,,,,,,,,,0,,,,,,,,,,,,,,28,70.0,225.0,0,1,0,1
824942,2026-03-31T23:15:00+00:00,away,133,Athletics,144,Atlanta Braves,650644,Aaron Civale,164,70,94,0.4268,3.9756,4.6829,-0.7073,15,0.3333,3.2,4.6667,-1.4667,1,0.4691,0.3855,3.9877,4.6543,3.9639,4.7108,0.5185,0.3333,0.2,4.3333,3.3333,3.8,3.8,0.4189,366,0,0,,0,7,7,0,1,70,94,164,0.4268,-116,0.4189,103,200,13,25.5,4,19.5,15,3.2,7.3333,2.7333,9.2,1.0,1.4,0.1333,0.4667,13.2667,33.6,0.2708,0.3498,4.6667,8.6,3.6,8.2,1.4667,0.2667,5,5,15,15.0,3.6,1.4,9.6,261.0,3.0,0,,,,,,,,,,,,0,,,,,,,,,,,,,,30,73.0,245.0,1,0,1,0
824699,2026-03-31T23:40:00+00:00,home,112,Chicago Cubs,108,Los Angeles Angels,592791,Jameson Taillon,166,84,82,0.506,4.5241,4.1747,0.3494,15,0.4667,3.7333,4.2,-0.4667,-1,0.5301,0.4819,3.8916,3.4458,5.1566,4.9036,0.451,0.3333,0.2,4.6667,6.6667,3.0,5.4,0.5401,366,0,0,,0,-7,1,8,0,84,82,166,0.506,58,0.5401,104,205,9,18.0,3,10.5,15,3.7333,7.0667,3.6667,7.4,0.6,1.3333,0.0667,0.8,15.2,32.5333,0.287,0.3084,4.2,8.7333,3.1333,6.7333,1.1333,0.2667,5,5,19,22.6667,4.7647,1.6324,8.7353,429.0,3.8,0,,,,,,,,,,,,0,,,,,,,,,,,,,,34,77.0,230.0,1,0,1,0
824699,2026-03-31T23:40:00+00:00,away,108,Los Angeles Angels,112,Chicago Cubs,667755,José Soriano,163,63,100,0.3865,3.9018,4.9387,-1.0368,15,0.2,3.6,6.0667,-2.4667,-7,0.3951,0.378,3.9506,5.0123,3.8537,4.8659,0.4583,0.0,0.0,3.0,8.3333,2.2,7.4,0.3843,368,0,0,,0,-7,1,8,0,63,100,163,0.3865,-169,0.3843,103,200,14,32.0,5,26.0,15,3.6,7.9333,3.0667,10.3333,0.8667,1.4,0.0667,0.8667,16.4,34.4667,0.2888,0.3459,6.0667,9.8,3.8,7.4667,1.8,1.0667,5,5,15,15.6667,10.9149,2.1702,8.0426,323.0,3.0,1,6.0,0.0,1.0,10.5,6.0,0.0,7.0,4.0,2.0,91.0,24.0,1,6.0,0.0,1.0,10.5,6.0,0.0,5,6.0,0.0,2.0,4.0,7.0,91.0,27,75.0,220.0,1,0,1,0
823807,2026-03-31T23:40:00+00:00,home,158,Milwaukee Brewers,139,Tampa Bay Rays,605540,Brandon Woodruff,163,93,70,0.5706,4.7791,3.9571,0.8221,15,0.4667,4.2,4.2667,-0.0667,-2,0.5802,0.561,4.5309,3.9877,5.0244,3.9268,0.5283,0.3333,0.6,2.6667,3.0,4.2,3.0,0.5933,368,0,0,,0,-2,2,4,0,93,70,163,0.5706,134,0.5933,104,205,4,7.5,1,0.0,15,4.2,7.6667,2.9333,11.0,0.7333,1.2667,0.3333,2.0,13.9333,33.0667,0.2801,0.3408,4.2667,7.9333,3.5333,10.2667,1.2,0.7333,5,5,18,22.3333,2.0149,0.8955,7.6567,349.0,3.6,0,,,,,,,,,,,,0,,,,,,,,,,,,,,33,76.0,241.0,1,0,0,1
823807,2026-03-31T23:40:00+00:00,away,139,Tampa Bay Rays,158,Milwaukee Brewers,663556,Shane McClanahan,163,81,82,0.4969,3.7239,4.0798,-0.3558,15,0.5333,2.5333,2.6,-0.0667,1,0.5244,0.4691,3.7561,4.0,3.6914,4.1605,0.5849,0.6667,0.6,3.6667,2.3333,3.2,2.4,0.4545,367,0,0,,1,1,3,2,1,81,82,163,0.4969,-58,0.4545,103,201,10,14.0,4,14.0,15,2.5333,6.9333,1.8667,9.0667,0.8,0.9333,0.0667,0.5333,13.0,31.7333,0.2588,0.3245,2.6,6.6,1.9333,10.2,0.5333,0.5333,5,5,14,16.0,3.375,1.125,9.5625,254.0,2.8,0,,,,,,,,,,,,0,,,,,,,,,,,,,,28,75.0,210.0,0,1,0,1
823077,2026-03-31T23:45:00+00:00,home,138,St. Louis Cardinals,121,New York Mets,669467,Andre Pallante,164,85,79,0.5183,4.1463,4.4085,-0.2622,15,0.6667,4.8,3.4,1.4,2,0.5542,0.4815,4.1566,4.2169,4.1358,4.6049,0.5686,0.6667,0.6,5.3333,3.3333,6.0,4.6,0.4694,368,0,0,,1,2,5,3,1,85,79,164,0.5183,-43,0.4694,104,205,8,16.0,2,8.5,15,4.8,9.0,3.4,7.6,1.0,2.0,0.3333,0.4,15.8667,33.8,0.3274,0.4223,3.4,8.3333,2.0,8.2,0.9333,0.5333,5,5,17,16.0,3.9375,1.6875,8.4375,271.0,3.4,0,,,,,,,,,,,,0,,,,,,,,,,,,,,27,72.0,215.0,1,0,1,0
823077,2026-03-31T23:45:00+00:00,away,121,New York Mets,138,St. Louis Cardinals,673540,Kodai Senga,164,90,74,0.5488,4.7073,4.2744,0.4329,15,0.6,4.2667,3.8,0.4667,1,0.5679,0.5301,4.716,4.1235,4.6988,4.4217,0.6364,0.3333,0.6,1.3333,2.3333,3.4,2.8,0.5481,366,0,0,,0,2,3,1,1,90,74,164,0.5488,71,0.5481,104,204,6,11.0,2,6.5,15,4.2667,7.4667,3.4,8.5333,1.2667,1.2,0.0667,0.5333,14.1333,32.4,0.2942,0.3785,3.8,6.9333,3.3333,9.6667,0.7333,0.4,5,5,14,14.6667,3.6818,1.2955,9.8182,270.0,2.8,0,,,,,,,,,,,,0,,,,,,,,,,,,,,33,73.0,202.0,1,0,0,1
824212,2026-04-01T00:10:00+00:00,home,117,Houston Astros,111,Boston Red Sox,686613,Hunter Brown,163,89,74,0.546,4.5644,4.0061,0.5583,15,0.6,4.0,4.0667,-0.0667,-1,0.5663,0.525,4.8072,3.9157,4.3125,4.1,0.4,0.6667,0.6,2.6667,2.3333,2.8,3.4,0.5649,367,0,0,,1,-2,1,3,0,89,74,163,0.546,91,0.5649,103,200,4,6.0,1,0.0,15,4.0,8.2,3.4667,7.4,1.0,1.5333,0.0,0.4667,16.2667,33.5333,0.3019,0.3613,4.0667,8.6667,2.6,9.6667,1.2,0.6667,5,5,15,15.0,3.6,1.2667,13.8,305.0,3.0,1,4.6667,0.0,1.7143,17.3571,7.7143,0.0,9.0,4.0,4.0,102.0,22.0,1,4.6667,0.0,1.7143,17.3571,7.7143,0.0,6,4.6667,0.0,4.0,4.0,9.0,102.0,27,74.0,220.0,1,0,1,0
824212,2026-04-01T00:10:00+00:00,away,111,Boston Red Sox,117,Houston Astros,678394,Brayan Bello,165,82,83,0.497,4.5939,4.5879,0.0061,15,0.4667,3.2667,3.4667,-0.2,-1,0.4634,0.5301,4.4756,4.8902,4.7108,4.2892,0.5806,0.6667,0.4,3.0,2.3333,2.4,3.2,0.5007,367,0,0,,0,-3,1,4,0,82,83,165,0.497,1,0.5007,103,201,9,14.0,3,14.0,15,3.2667,6.8667,3.1333,9.6,0.7333,1.4667,0.0667,1.1333,13.2667,32.9333,0.268,0.3207,3.4667,8.0667,2.8667,7.4,0.6667,0.5333,5,5,16,17.3333,0.5192,0.8654,6.2308,233.0,3.2,0,,,,,,,,,,,,0,,,,,,,,,,,,,,26,73.0,195.0,1,0,1,0
825107,2026-04-01T01:40:00+00:00,home,109,Arizona Diamondbacks,116,Detroit Tigers,694297,Brandon Pfaadt,164,90,74,0.5488,5.4878,4.872,0.6159,15,0.4667,5.2,4.8,0.4,1,0.5422,0.5556,5.6747,5.0964,5.2963,4.642,0.5652,0.6667,0.4,8.3333,4.3333,5.6,4.6,0.5592,367,0,0,,1,7,8,1,1,90,74,164,0.5488,101,0.5592,104,203,5,11.0,3,11.0,15,5.2,8.7333,3.7333,7.8,1.4667,1.7333,0.2,1.0667,15.8,33.6667,0.3278,0.4414,4.8,8.2667,2.8,10.2667,1.3333,0.6,5,5,18,20.0,4.95,1.0,7.65,274.0,3.6,0,,,,,,,,,,,,0,,,,,,,,,,,,,,27,76.0,220.0,1,0,1,0
825107,2026-04-01T01:40:00+00:00,away,116,Detroit Tigers,109,Arizona Diamondbacks,663554,Casey Mize,164,86,78,0.5244,4.2134,3.9939,0.2195,15,0.6667,4.0,3.8,0.2,-4,0.5309,0.5181,4.0864,4.037,4.3373,3.9518,0.5536,0.0,0.2,4.6667,7.3333,3.6,5.4,0.5267,367,0,0,,0,-3,5,8,0,86,78,164,0.5244,36,0.5267,103,202,7,9.5,3,8.0,15,4.0,7.7333,4.2,10.8,0.8667,1.5333,0.4,0.2667,15.8,33.2,0.3139,0.3724,3.8,7.2,2.4667,7.9333,1.3333,0.3333,5,5,16,25.0,4.68,0.96,7.2,400.0,3.2,0,,,,,,,,,,,,0,,,,,,,,,,,,,,28,75.0,212.0,1,0,1,0
823322,2026-04-01T01:40:00+00:00,home,135,San Diego Padres,137,San Francisco Giants,608566,Germán Márquez,162,94,68,0.5802,4.6543,4.0741,0.5802,15,0.7333,3.9333,3.2,0.7333,2,0.5732,0.5875,4.4512,4.3049,4.8625,3.8375,0.5476,0.6667,0.8,4.3333,6.0,4.6,4.2,0.5662,367,0,0,,1,1,4,3,1,94,68,162,0.5802,94,0.5662,104,203,3,6.0,2,6.0,15,3.9333,8.2667,2.4,7.4,1.4,2.0,0.0667,1.0667,12.7333,33.1333,0.2989,0.4391,3.2,6.6667,2.9333,8.4667,0.9333,0.6667,5,5,19,22.0,2.0455,1.0,9.0,399.0,3.8,0,,,,,,,,,,,,0,,,,,,,,,,,,,,31,73.0,230.0,1,0,1,0
823322,2026-04-01T01:40:00+00:00,away,137,San Francisco Giants,135,San Diego Padres,657277,Logan Webb,163,81,82,0.4969,4.2883,4.3129,-0.0245,15,0.6,4.6,3.5333,1.0667,1,0.5185,0.4756,4.1235,4.1605,4.4512,4.4634,0.5,0.6667,0.4,4.3333,5.0,3.6,5.8,0.4971,369,0,0,,0,2,6,4,1,81,82,163,0.4969,-4,0.4971,104,203,10,19.5,4,19.5,15,4.6,7.8667,2.2667,10.0667,1.4667,1.2,0.2,0.4,12.2667,34.0667,0.2725,0.3971,3.5333,8.2,3.7333,9.0,0.4,0.1333,5,5,22,24.3333,4.4384,1.4795,6.6575,469.0,4.4,1,5.0,10.8,2.0,12.6,1.8,0.0,7.0,1.0,9.0,86.0,26.0,1,5.0,10.8,2.0,12.6,1.8,0.0,7,5.0,6.0,9.0,1.0,7.0,86.0,29,74.0,221.0,1,0,1,0
823158,2026-04-01T01:40:00+00:00,home,136,Seattle Mariners,147,New York Yankees,669302,Logan Gilbert,164,86,78,0.5244,4.1463,3.7561,0.3902,15,0.6667,4.6667,3.4667,1.2,-1,0.6024,0.4444,3.7229,3.1928,4.5802,4.3333,0.4909,0.6667,0.8,3.3333,4.3333,3.8,3.8,0.5493,367,0,0,,1,-7,0,7,0,86,78,164,0.5244,64,0.5493,103,200,6,9.5,2,3.5,15,4.6667,8.7333,3.6667,9.1333,1.3333,1.2667,0.0667,0.7333,17.0,34.0,0.3268,0.4088,3.4667,6.9333,2.4667,9.0667,1.2,0.3333,5,5,20,18.0,6.5,1.6111,11.0,310.0,4.0,1,5.3333,5.0625,0.9375,11.8125,0.0,1.6875,7.0,,5.0,86.0,21.0,1,5.3333,5.0625,0.9375,11.8125,0.0,1.6875,6,5.3333,3.0,5.0,0.0,7.0,86.0,28,78.0,215.0,1,0,1,0
823158,2026-04-01T01:40:00+00:00,away,147,New York Yankees,136,Seattle Mariners,608331,Max Fried,163,95,68,0.5828,5.0245,4.1104,0.9141,15,0.6,5.2,3.6667,1.5333,2,0.5488,0.6173,4.7927,4.378,5.2593,3.8395,0.5135,0.6667,0.6,4.6667,5.0,5.2,4.0,0.5991,369,0,0,,1,2,4,2,1,95,68,163,0.5828,149,0.5991,103,201,1,0.0,1,0.0,15,5.2,7.7333,4.6667,9.4,1.4,1.4667,0.0,1.1333,15.3333,33.4,0.3232,0.3959,3.6667,7.4,3.5333,9.6667,1.0667,0.2667,5,5,19,18.0,3.5,1.1111,13.0,327.0,3.8,1,6.3333,0.0,0.4737,5.6842,1.4211,0.0,4.0,1.0,2.0,86.0,23.0,1,6.3333,0.0,0.4737,5.6842,1.4211,0.0,7,6.3333,0.0,2.0,1.0,4.0,86.0,32,76.0,190.0,0,1,0,1
823969,2026-04-01T02:10:00+00:00,home,119,Los Angeles Dodgers,114,Cleveland Guardians,660271,Shohei Ohtani,164,101,63,0.6159,5.1768,4.1585,1.0183,15,0.8667,7.0,3.4667,3.5333,9,0.6585,0.5732,4.939,4.0,5.4146,4.3171,0.5641,1.0,1.0,6.3333,4.0,5.0,2.8,0.6078,367,0,0,,1,3,8,5,1,101,63,164,0.6159,167,0.6078,104,203,1,0.0,1,0.0,15,7.0,9.9333,4.6,7.1333,2.0667,1.7333,0.0,1.4,15.4,34.3333,0.3631,0.5121,3.4667,7.2667,3.4667,10.8,1.0,0.4667,5,5,23,27.0,2.3333,1.1481,13.0,440.0,4.6,0,,,,,,,,,,,,0,,,,,,,,,,,,,,31,76.0,210.0,1,0,0,1
823969,2026-04-01T02:10:00+00:00,away,114,Cleveland Guardians,119,Los Angeles Dodgers,676440,Tanner Bibee,162,93,69,0.5741,4.4136,3.858,0.5556,15,0.6,3.7333,2.8,0.9333,1,0.625,0.5244,4.675,3.9875,4.1585,3.7317,0.5778,0.3333,0.6,4.0,4.3333,4.6,3.2,0.5669,369,0,0,,0,3,7,4,1,93,69,162,0.5741,90,0.5669,103,202,2,1.5,1,0.0,15,3.7333,7.6667,2.4,8.0667,1.2,1.6667,0.2,0.5333,11.4667,32.5333,0.2846,0.4038,2.8,6.9333,2.8667,9.5333,0.5333,0.7333,5,5,22,24.6667,1.4595,1.0946,9.4865,375.0,4.4,1,5.0,5.4,1.2,12.6,3.6,5.4,7.0,2.0,4.0,78.0,20.0,1,5.0,5.4,1.2,12.6,3.6,5.4,6,5.0,3.0,4.0,2.0,7.0,78.0,27,74.0,205.0,1,0,1,0
